sha	surfaces	date	sujet
95cc92a4ffc0	APP+AUT+DOC+OUT+MIG+TEST	2026-09-04	sécurité: fermer les deux fuites anonymes et rendre la recette reconnaissable
f3526ada0f06	APP+TEST	2026-09-04	fix(bandeau): une hauteur mesurée trop tôt figeait 306 px de vide
3efbf1cd6a44	AUT+APP+OUT+TEST	2026-09-04	config: extraire la configuration Supabase vers l'environnement de build
adb1f45d6af0	DOC	2026-09-04	recette: consolider le bilan de la passe navigateur (documentation seule)
bb49f693e1b4	DOC	2026-09-04	recette: consigner l'état du déploiement et la régression du bandeau
58e394b9b6f8	DOC+APP+OUT+TEST	2026-09-04	fix(navigation): identifier une page indépendamment de l'hébergeur (A8)
9002d23e83c3	DOC+APP+TEST	2026-09-04	fix(journal): une absence de données n'est pas une erreur (A4)
a9c52fcecd9d	DOC+OUT+MIG+TEST	2026-09-04	sécurité: une ligne, un site — supprimer la double identité de rattachement (A2)
f3ee8d31239d	MIG	2026-09-04	migrations: aligner le numéro et le texte de la migration A2 sur la base
237f378578ec	OUT	2026-09-04	outil: la réinitialisation vérifie la convention de connexion (A1)
4b3f3de31a4f	APP+DOC+MIG+TEST	2026-09-05	2B-SECURITY-WRITE-GUARD — une écriture ne peut plus choisir son site
1df1f3e636fc	APP+DOC+OUT+MIG+TEST	2026-09-05	A3-1 + A3-3 — le site et le fuseau ne sont plus devinés
98a6e8d115be	APP+DOC+OUT+TEST	2026-09-05	fix(rôle): séparer identité administrative, poste du jour et permissions (A11)
0be1bd526535	APP+DOC+TEST	2026-09-05	A3 / C2 — un quart ne se devine plus : heure de la station, seuil configuré
270a1a927450	APP+DOC+TEST	2026-09-05	A4-bis — distinguer absence normale, incohérence métier et panne technique
57f43c3ea32f	APP+DOC+TEST	2026-09-05	Verify — le quart proposé vient du contrat C2, plus du premier <option>
cf3e66d5e40c	APP+DOC+TEST	2026-09-05	A3-6 — trente pieds de page signés du nom d'un autre commerce
dd4d0f30ab14	APP+DOC+TEST	2026-09-05	A3 / C1 client — le fuseau devient un contexte explicite de bout en bout
3b795ff80c94	APP+MIG+TEST	2026-09-05	S-5 — un comptage d'inventaire est rattaché au service réellement actif
04dbcd461f37	APP+OUT+TEST	2026-09-05	build: une seule génération, sans échappatoire (A14, intégré à A6)
0af560d2d229	APP+TEST	2026-09-05	build: la chaîne de versionnement parallèle dépassait nexus-auth.js (A14, suite)
33f011be5a8b	APP+TEST	2026-09-05	A3 / C3 — une capacité de cuve est une donnée du site, pas une valeur devinée
6b28f2f44c5f	APP+TEST	2026-09-05	A3 / B1 — plus aucune identité client ne retombe sur Sainte-Marie
835a85db4c51	APP+TEST	2026-09-05	C2 — régression de vocabulaire : Inventaire dit « matin/soir », pas « 1/2 »
9907039eea80	APP+TEST	2026-09-05	Verify — la règle du quart n'existe plus qu'en un seul exemplaire
bb56cea9b7d9	APP+TEST	2026-09-05	A3 / C1 client — Brief privait sa propre chaîne du fuseau
ca9cf9265862	APP+TEST	2026-09-05	S-4 — le service courant a une seule définition
d1262ded67fd	APP+TEST	2026-09-05	A3 / C2-4 — deux réglages horaires qui ne décidaient plus rien
c75fc9ab675a	AUT	2026-09-05	docs: add Claude handoff instructions
bd5bd60f768e	CI+AUT+DOC+APP+OUT+TEST	2026-09-05	build: rendre impossible la publication d'une version non identifiable (A6)
da65d0030fe4	CI+DOC+MIG+TEST	2026-09-05	migrations: restaurer l'identité de production et la rendre immuable (A12)
3effc2768ed5	CI+DOC+OUT+TEST	2026-09-05	STATIC-SITE-GUARD — ADR-0001 devient un invariant, et il trouve trois occurrences
d4925f0c6be4	CI+DOC+OUT+TEST	2026-09-05	Handoff v2 — le protocole ne repose plus sur la discipline de ses acteurs
046f10a92da3	DOC	2026-09-05	handoff: arbitrate static site guard
04b7e71ec823	DOC	2026-09-05	docs: arbitrage S-4 lecteurs service courant
0e0eb3fffed9	DOC	2026-09-05	Handoff S-5 — implémenté et déployé, deux preuves en attente de session réelle
